Rank;Channel_Name;Subscriber_Count;Video_Views;Video_Count;Genre;Channel_started
61;GMM GRAMMY OFFICIAL;22700000;25007763545;14685;Music;2010
62;Vijay Television;19000000;24990083268;40319;Entertainment;2007
63;Galinha Pintadinha;32600000;24972463590;65;Film & Animation;2006
64;GR6 EXPLODE;38500000;24945998838;4156;Music;2014
65;Katy Perry;43900000;24847554662;120;Music;2008
66;Aditya Music;27600000;24574327626;21020;Music;2008
67;TaylorSwiftVEVO;25700000;24560011076;262;Music;2009
68;shakiraVEVO;18400000;24083534504;194;Music;2009
69;FGTeeV;21700000;23458547498;1674;Gaming;2013
70;1theK (ì›ë”ì¼€ì´);24400000;23411691878;17842;Music;2011
71;KatyPerryVEVO;24700000;23318716419;173;Music;2009
72;Ariana Grande;52300000;23242590833;146;Music;2007
73;Aaj Tak;55700000;23158451096;242010;News & Politics;2009
74;Maria Clara & JP;36000000;22985098433;699;People & Blogs;2015
75;Genevieve's Playhouse - Learning Videos for Kids;32100000;22903828008;595;Education;2016
76;MrBeast;135000000;22825311283;735;Entertainment;2012
77;Shemaroo;44800000;22772741613;10873;Entertainment;2007
78;shfa2 - Ø´ÙØ§;38200000;22708961183;1497;People & Blogs;2017
79;TheEllenShow;38300000;22582266136;15189;Entertainment;2006
80;SSSniperWolf;33300000;22571436070;3224;Gaming;2013
81;Ozuna;35900000;22495873334;164;Music;2016
82;J Balvin;33900000;22414170197;134;Music;2011
83;Masha and The Bear;39200000;22375849147;1063;Film & Animation;2014
84;CookieSwirlC;19300000;22362308350;3683;Entertainment;2013
85;Peppa Pig - Official Channel;30300000;22078360113;2645;Film & Animation;2013
86;Goldmines;82700000;22065857870;5350;Film & Animation;2012
87;Daddy Yankee;37600000;21894518622;476;Music;2011
88;Sesame Street;23100000;21847663213;3564;Entertainment;2006
89;Maroon 5;36400000;21827045577;163;Music;2006
90;Nick Jr.;26600000;21722772621;5145;Film & Animation;2012
91;Little Angel: Nursery Rhymes & Kids Songs;29600000;21699308772;1232;Education;2015
92;etvteluguindia;18700000;21665592262;120122;Entertainment;2010
93;LUCCAS NETO - LUCCAS TOON;38800000;21619683879;2067;People & Blogs;2014
94;LeoNata Family;16200000;21562386713;1871;People & Blogs;2021
95;The Weeknd;31100000;21532436284;131;Music;2011
96;Rihanna;41200000;21484482902;82;Entertainment;2005
98;Bollywood Classics;33300000;20890501469;1970;Music;2012
99;HUM TV;25400000;20838737685;89867;Entertainment;2011
100;Spinnin' Records;29900000;20780114029;11110;Music;2007
101;A4;44400000;20710970132;722;Gaming;2014
102;Inside Edition;11500000;20650907165;29223;News & Politics;2012
103;Maluma;29000000;20560950991;21;Music;2018
104;shfa;37400000;20481763979;936;People & Blogs;2015
105;Alan Chikin Chow;19100000;20348395082;702;Comedy;2020
106;jbalvinVEVO;13200000;20330493553;235;Music;2010
107;T-Series Apna Punjab;33800000;20285993947;7272;Music;2011
108;Bounce Patrol - Kids Songs;27500000;20270757904;238;Music;2013
109;Voot Kids;43000000;20019473962;4064;Entertainment;2016
110;Disney LatinoamÃ©rica;21200000;20004403352;7985;Entertainment;2007
111;WORLDSTARHIPHOP;26300000;19998524070;6737;Music;2008
112;StarPlus;26700000;19979785524;28853;Entertainment;2006
113;LEGO;15700000;19887333818;29807;Entertainment;2005
114;EminemVEVO;24800000;19815644789;104;Music;2009
115;DONA ë„ë‚˜;30000000;19780472075;163;Entertainment;2018
116;Markiplier;34500000;19675534854;5422;Gaming;2012
117;ArianaGrandeVevo;17800000;19650537182;177;Music;2010
118;BANGTANTV;73700000;19590473596;2122;Music;2012
119;Maroon5VEVO;14500000;19565971464;143;Music;2009
120;CVS 3D Rhymes & Kids Songs;32100000;19508008622;338;Education;2008
121;GRAMMY GOLD OFFICIAL;18100000;19359121296;6012;Music;2014
122;Like Nastya Show;42200000;19238935770;577;Entertainment;2017
123;Badabun;46500000;19155168575;17002;Entertainment;2014
124;DanTDM;26400000;19050281081;3642;Gaming;2012
125;SMOL;17800000;18922831360;3008;People & Blogs;2021
126;RihannaVEVO;25200000;18901031758;118;Music;2009
127;JYP Entertainment;26500000;18770165069;1602;Music;2008
128;Bruno Mars;36200000;18587225564;99;Music;2006
129;MalumaVEVO;14100000;18550458611;178;Music;2011
130;Rotana;21100000;18126808736;8257;Music;2012
131;Sun TV;21100000;18099600022;48263;People & Blogs;2016
132;BuzzFeedVideo;20200000;17860330729;7493;People & Blogs;2011
133;MarÃ­lia MendonÃ§a;25700000;17838306451;120;Music;2013
134;ZEE5;14000000;17557695746;93640;Entertainment;2018
135;Eros Now Music;32100000;17427689200;9884;Entertainment;2007
136;Like Nastya ESP;36100000;17419748354;695;Entertainment;2017
138;PowerKids TV;33700000;17230651240;4210;Film & Animation;2014
139;infobells - Tamil;27800000;17173454323;505;Education;2014
140;Enrique Iglesias;23500000;17134012330;434;Music;2007
141;mmoshaya;22300000;17084720246;1169;People & Blogs;2010
142;David Guetta;25100000;16994708151;707;Music;2009
143;Marta and Rustam;16100000;16949610714;606;Comedy;2021
144;Ultra Records;29200000;16804461102;4762;Music;2006
145;The Tonight Show Starring Jimmy Fallon;30700000;16798836162;8627;Comedy;2006
146;SonyMusicSouthVEVO;17400000;16774817862;5462;Music;2014
147;BeyoncÃ©;25600000;16730963436;238;Music;2005
148;MBCentertainment;8930000;16690512755;95914;Entertainment;2009
149;That Little Puff;18900000;16582763026;672;Pets & Animals;2020
150;Ishtar Music;39800000;16502312582;4589;Film & Animation;2005
151;Coldplay;24500000;16364615455;372;Music;2010
152;Romeo Santos;20400000;16308908370;54;Music;2005
153;TheWeekndVEVO;10500000;16159144153;136;Music;2011
154;Felipe Neto;44900000;16154751854;4018;Entertainment;2006
155;Wow Kidz;30300000;16131404685;3843;Film & Animation;2015
156;WatchMojo.com;25000000;16105744207;23791;Music;2007
157;Jkk Entertainment;36900000;16018445865;209;Comedy;2017
158;KAROL G;29200000;15994167450;125;Music;2013
159;Mother Goose Club Playhouse;17900000;15937415314;1369;Film & Animation;2009
160;jacksepticeye;29000000;15919199568;5060;Gaming;2007
161;ImagineDragons;30000000;15834294546;87;Music;2009
162;Worldwide Records Bhojpuri;30700000;15817809026;6270;Music;2012
163;Goldmines Gaane Sune Ansune;36700000;15801754186;3439;Music;2015
164;Aphmau;15800000;15797575634;4231;Gaming;2012
165;A.O.D;27000000;15765845822;2475;Entertainment;2014
166;Koray Zeynep;13300000;15748182269;10475;People & Blogs;2016
167;Come Play With Me;13300000;15728169121;391;Entertainment;2014
168;Dude Perfect;58900000;15546930951;368;Sports;2009
169;NickyJamTV;23400000;15524835660;363;Music;2012
170;Fischer's-ãƒ•ã‚£ãƒƒã‚·ãƒ£ãƒ¼ã‚º-;7890000;15511361529;3038;Entertainment;2012
171;Calvin Harris;18700000;15509555710;77;Music;2007
172;Ultra Bollywood;35600000;15504494143;8911;Film & Animation;2009
173;Mundo Bita;11800000;15441838450;201;Music;2011
174;IGN;17200000;15441752708;153181;Gaming;2006
175;Mikecrack;36900000;15307321273;1815;Gaming;2015
176;VanossGaming;25800000;15293265339;1685;Gaming;2011
177;Mister Max;23500000;15273859533;1077;People & Blogs;2014
178;VEGETTA777;33600000;15241121694;7395;Gaming;2008
179;toyorbabytv;21400000;15232295427;1108;Music;2012
180;Mazhavil Manorama;14400000;15227993247;80390;Entertainment;2011
181;EnriqueIglesiasVEVO;12900000;15101019022;136;Music;2009
182;IndiaTV;34200000;15056762678;257886;News & Politics;2006
183;Family Fun Pack;10100000;15017638068;2398;People & Blogs;2011
184;Zee News;29100000;15011751869;163510;News & Politics;2007
185;Lady Gaga;22800000;14988431395;172;People & Blogs;2008
186;MoniLina;10900000;14960422456;746;Comedy;2021
187;dednahype;14600000;14947769916;1381;Comedy;2020
188;Luis Fonsi;31300000;14875629871;146;Entertainment;2014
189;toycantando;26700000;14872023832;536;Music;2009
190;El Payaso Plim Plim;16100000;14848903564;1133;Film & Animation;2013
191;Chris Brown;24700000;14822220945;25;Music;2006
192;Dushyant kukreja;22600000;14741611081;763;Entertainment;2015
193;Dan Rhodes;20700000;14734971617;1579;Entertainment;2015
194;Talking Tom;29400000;14668889695;481;Comedy;2010
195;KBS WORLD TV;18700000;14632787311;61744;Entertainment;2007
196;Jelly;23300000;14549879967;5902;Gaming;2014
197;PopularMMOs;17200000;14534856183;4685;Gaming;2012
198;Disney Junior;14600000;14406350201;3718;Entertainment;2008
199;Miss Katy;23300000;14366178751;1021;People & Blogs;2014
200;Drake;27600000;14356230404;58;Music;2009
201;Sagawa /ã•ãŒã‚;17000000;14347943068;4913;Entertainment;2021
202;LuisFonsiVEVO;17000000;14308657223;96;Music;2009
203;Saturday Night Live;13400000;14287683142;8226;Entertainment;2013
204;Raffy Tulfo in Action;25700000;14285926489;9494;News & Politics;2016
205;JuegaGerman;47400000;14250671651;2024;Gaming;2013
206;Tlnovelas;20800000;14174193231;35232;News & Politics;2013
207;Mnet K-POP;20200000;14171133174;31339;Entertainment;2006
208;Rajshri;32200000;14170970073;3863;Music;2006
209;Blippi - Educational Videos for Kids;17300000;14142222578;591;Education;2014
210;Marshmello;56100000;14135252265;410;Entertainment;2015
211;Genierock;14900000;14110650588;1623;Music;2008
212;infobells - Telugu;27000000;14039843017;460;Education;2014
213;CalvinHarrisVEVO;11800000;14023574215;174;Music;2009
214;Saregama Music;32500000;13910019443;6796;Entertainment;2013
215;The Chainsmokers;22500000;13840277557;166;Music;2012
216;Fox News;10300000;13836378802;89842;News & Politics;2006
217;Trap Nation;30500000;13824911510;2626;Music;2012
218;Asianet;8800000;13823755228;109018;Entertainment;2008
219;Shorts Break;19900000;13780532791;371;Comedy;2021
220;BeyoncÃ©VEVO;12800000;13776803693;168;Music;2009
221;Henrique e Juliano;15300000;13765863650;315;Music;2009
222;Michael Jackson;27300000;13660689522;15;Music;2005
223;Thairath Online;15600000;13634249471;230046;News & Politics;2010
224;Tarang TV;7020000;13631541685;44772;Entertainment;2012
225;Post Malone;24900000;13588917689;64;Music;2011
226;ZutiGang;12400000;13546973241;1135;People & Blogs;2021
227;Adele;29600000;13537940105;15;Music;2008
228;Turma da MÃ´nica;18600000;13533043987;1135;Film & Animation;2012
229;TRANS7 OFFICIAL;24500000;13529296723;84587;Entertainment;2014
230;KarolGVEVO;3720000;13512082882;66;Music;2016
231;RomeoSantosVEVO;8820000;13436014930;209;Music;2011
232;Zhong;23700000;13406531968;1315;Entertainment;2015
233;7clouds;18600000;13405201404;2227;Music;2013
234;Boram Tube Vlog [ë³´ëžŒíŠœë¸Œ ë¸Œì´ë¡œê·¸];30000000;13377630192;223;Entertainment;2012
235;CNN;14800000;13371679587;158144;News & Politics;2005
236;Anuel AA;23800000;13368372558;138;Music;2016
237;And TV;16900000;13364219788;29039;Entertainment;2015
238;ChrisBrownVEVO;11900000;13317446177;297;Music;2009
239;ImagineDragonsVEVO;9670000;13250789764;194;Music;2012
240;One Direction;37900000;13221594419;157;Music;2010
241;ViralHog;9250000;13196225954;37537;People & Blogs;2014
242;mujjuu___14;20900000;13176649526;769;People & Blogs;2020
243;Gusttavo Lima Oficial;19700000;13113052398;352;Music;2010
244;Fueled By Ramen;14700000;13058075071;1203;Music;2006
245;REACT;20000000;13056086166;4089;Entertainment;2007
246;Wiz Khalifa;27100000;13052346340;625;Music;2008
247;SSundee;21800000;13051786515;3219;Gaming;2009
248;Yoeslan;15100000;13009287889;445;Entertainment;2020
249;SportsNation;9520000;12981801302;3337;Sports;2009
250;Rotten Tomatoes Trailers;15700000;12981156477;10037;Film & Animation;2011
251;LadyGagaVEVO;8980000;12979564197;204;Music;2009
252;Billie Eilish;47400000;12975261721;51;Music;2013
253;GMA Public Affairs;20600000;12969612106;42560;Entertainment;2009
255;Sia;22300000;12924915362;169;Music;2007
256;RCTI - LAYAR DRAMA INDONESIA;16100000;12906569229;66131;Entertainment;2015
257;ETV Jabardasth;13600000;12903392102;8662;People & Blogs;2015
258;Jimmy Kimmel Live;19000000;12902883527;6419;Entertainment;2006
259;Junya.ã˜ã‚…ã‚“ã‚„;21500000;12893925588;4311;Entertainment;2020
260;rezendeevil;31700000;12889926707;11800;Gaming;2012
261;Sony AATH;18400000;12758281340;16954;Film & Animation;2013
262;BabyBus - Canciones Infantiles & Videos para NiÃ±os;22300000;12675495179;1122;Education;2018
263;Kids TV - Nursery Rhymes And Baby Songs;21400000;12630830484;3634;Film & Animation;2013
264;Linkin Park;20000000;12626456017;598;Music;2006
265;Wave Music Bhojpuri;22500000;12611329246;22118;Music;2014
266;Beam Copphone;7610000;12528044071;2737;Entertainment;2012
267;DisneyChannelUK;12400000;12464867813;4382;Music;2007
268;Shawn Mendes;29800000;12386316820;133;Music;2011
269;Alan Walker;42900000;12376238565;366;Music;2012
270;ABC News;14100000;12373854954;77308;News & Politics;2006
271;Selena Gomez;32500000;12371602129;188;Film & Animation;2008
272;Masha y el Oso;26300000;12367072234;963;Film & Animation;2016
273;Geet MP3;33800000;12326155433;630;Music;2016
274;YoungBoy Never Broke Again;12200000;12319098703;590;Entertainment;2015
275;XO TEAM;12400000;12161624272;2786;People & Blogs;2021
276;Atlantic Records;13600000;12097238674;1544;Music;2006
277;AMARINTV : à¸­à¸¡à¸£à¸´à¸™à¸—à¸£à¹Œà¸—à¸µà¸§à¸µ;16700000;12078065051;104717;Entertainment;2014
278;Pitbull;16100000;12071886355;335;Music;2006
279;CKN;18600000;12030471541;474;Entertainment;2015
280;Indosiar;23400000;12020712027;65623;Music;2013
281;AdeleVEVO;15100000;12018947879;52;Music;2009
282;Topper Guild;14000000;11997319531;644;Comedy;2014
283;æ±æµ·ã‚ªãƒ³ã‚¨ã‚¢;6830000;11958012432;2657;Comedy;2013
284;Like Nastya AE;23600000;11954665940;615;Entertainment;2018
285;Kaji Family;9020000;11946387556;977;Entertainment;2016
286;As/Is;10400000;11909217449;4824;People & Blogs;2013
287;OneDirectionVEVO;21900000;11893387937;266;Music;2010
288;NichLmao;22000000;11842283184;751;People & Blogs;2018
289;ABP NEWS;35500000;11840564703;262326;People & Blogs;2012
290;GMMTV OFFICIALâ€‹â€‹;15800000;11838649898;22174;Entertainment;2010
291;michaeljacksonVEVO;8080000;11806216949;138;Music;2009
292;ItsFunneh;9840000;11791649003;2519;Gaming;2011
293;NBA;19900000;11761981184;45177;Sports;2005
294;ChainsmokersVEVO;11100000;11734620739;246;Music;2012
295;eltrece;12100000;11709869278;159305;Entertainment;2014
296;Jake Fellman;15000000;11618626248;440;Entertainment;2012
297;DisneyJuniorUK;11300000;11586962179;2789;Entertainment;2010
298;JTBC Entertainment;7580000;11512332695;76838;Entertainment;2012
299;Mnet TV;9040000;11442069884;21617;Entertainment;2013
300;GMA News;12900000;11387663843;345736;News & Politics;2007
